stt,sku,proName,brandName,category,cat_parent,cat_child,script,,,
124,HW-SE,Tai nghe Bluetooth True Wireless Huawei Freebuds SE,Huawei,Nhét tai,Tai nghe,Nhét tai,"Tai nghe không dây Huawei Freebuds SE được trang bị củ loa driver dynamic với màng loa 10mm mang lại những trải nghiệm âm thanh chân thực và sống động. Sản phẩm sử dụng viên pin dung lượng lớn cung cấp thời lượng nghe liên tục 6 tiếng và lên tới 24 giờ với hộp sạc. Tận hưởng những giai động theo cách riêng của bạn mọi lúc, mọi nơi với chuẩn kháng nước IPX4. Vô tư ghép nối với thiết bị cá nhân bằng Bluetooth trong phạm vi 10 mét. ",,,
125,HW-SE4,Tai nghe Bluetooth True Wireless Huawei Freebuds SE 4,Huawei,Nhét tai,Tai nghe,Nhét tai,"Tai nghe Bluetooth True Wireless Huawei Freebuds SE 4 nổi bật nhờ được tích hợp công nghệ chống ồn chủ động cùng khả năng ghép nối Bluetooth ổn định. Thiết bị đạt chuẩn bảo vệ Class III, vận hành ở mức điện năng thấp phù hợp cho nhu cầu sử dụng dài lâu. Bên cạnh đó, tai nghe còn đạt nhiều chứng nhận chất lượng tại các thị trường lớn trên toàn cầu.",,,
126,HW-FA,Tai nghe Bluetooth True Wireless Huawei FreeArc,Huawei,Kẹp tai,Tai nghe,Kẹp tai,"Tai nghe Huawei Freearc được ưu ái trang bị Driver 17×12 mm kết hợp công nghệ Sterling Sound, mang đến trải nghiệm nghe nhạc chất lượng cao. Với thời lượng pin 28h nhờ hộp sạc 510mAh, sản phẩm đáp ứng tốt nhu cầu sử dụng dài ngày. Kèm theo đó là cấu trúc kháng nước IP57 giúp người dùng yên tâm đeo khi vận động, tập luyện ngoài trời.",,,
127,Yến,,,,Tai nghe,Nhét tai,,,,
128,Yến,,,,Tai nghe,Nhét tai,,,,
129,Yến,,,,Tai nghe,Nhét tai,,,,
130,RM-BAP,Realme Buds Air Pro,Realme,Nhét tai,Tai nghe,Nhét tai,"Tai nghe Bluetooth Realme Buds Air Pro là dòng tai nghe true wireless với khử tiếng ồn chủ động (ANC) 35dB, chống ồn kép khi đàm thoại, Bluetooth 5.0, điều khiển cảm ứng, pin 5-6 giờ (ANC bật/tắt) + 25 giờ (hộp sạc), chống nước IPX4, hỗ trợ Google Fast Pair, có chế độ Transparency cho phép nghe âm thanh bên ngoài, phù hợp nghe nhạc và gaming nhờ độ trễ thấp",,,
131,RM-BTL,Realme Buds T200 Lite,Realme,Nhét tai,Tai nghe,Nhét tai,"Tai nghe không dây realme Buds T200 Lite được trang bị trình điều khiển động 12.4mm tái tạo âm thanh mạnh mẽ và sâu lắng, đặc biệt là ở dải âm trầm. Mẫu tai nghe realme này sử dụng công nghệ AI để loại bỏ tiếng ồn, tạp âm xung quanh. Thời gian sử dụng của tai nghe lên đến 7 giờ cho mỗi lần sạc và 48 giờ khi dùng hộp sạc.",,,
132,RM-BT300,Realme Buds T300,Realme,Nhét tai,Tai nghe,Nhét tai,"Tai nghe không dây realme Buds T300 mang đến trải nghiệm âm thanh chất lượng nhờ vào trình Dynamic Driver 12.4 mm và hiệu ứng 360 Spatial Sound. Tích hợp công nghệ Chống ồn chủ động (ANC) và hai micrô chất lượng cao, đảm bảo đàm thoại rõ ràng ngay cả trong môi trường ồn ào. Với thời lượng pin lên tới 40 giờ và khả năng sạc nhanh 10 phút cho khả năng sử dụng đến 7 giờ, tai nghe đáp ứng mọi nhu cầu trong ngày. Thiết kế gọn nhẹ chỉ 4.1g và Bluetooth 5.3 hiện đại giúp kết nối mạnh mẽ, linh hoạt.",,,
133,RM-BQ,Realme Buds Q2S,Realme,Nhét tai,Tai nghe,Nhét tai,"Tai nghe không dây Realme Buds Q2S đáng chú ý với thiết kế nhỏ gọn và thời lượng pin liên tục đến 7 giờ và hộp sạc có thể cung cấp thêm cho tổng thời gian dùng đến 30 giờ sử dụng. Việc sạc pin cũng nhanh chóng chỉ trong 2.5 giờ thông qua cổng USB-C. Tai nghe được chứng nhận IPX4, cho phép chống nước mồ hôi và nước bắn. Với công nghệ chống ồn chủ động và xuyên âm, tai nghe mang đến trải nghiệm âm thanh rõ ràng và mạnh mẽ. Với Bluetooth 5.2 và hỗ trợ codec AAC và SBC, đảm bảo kết nối ổn định và âm thanh chất lượng cao.",,,
134,RZ-O,Razer Opus,Razer,Tai chụp,Tai nghe,Chụp tai,"Tai nghe chụp tai Razer Opus sở hữu kích thước màng loa 40mm với công nghệ Ambient sound và chống ồn chủ động giúp chất âm trở nên sắc nét và mượt mà. Với 4 micro tích hợp, mẫu tai nghe Razer hỗ trợ người dùng đàm thoại vô cùng hiệu quả. Tai nghe cũng ghi điểm với người dùng nhờ có công nghệ Bluetooth 4.2 và thời lượng sử dụng đến 25 giờ.",,,
135,RZ-BP,Razer Barracuda Pro,Razer,Tai chụp,Tai nghe,Chụp tai,"Tai nghe chụp tai Razer Barracuda Pro là một tai nghe chơi game cao cấp với công nghệ âm thanh THX AAA, chống tiếng ồn chủ động ANC tối ưu trải nghiệm người dùng. Razer Barracuda Pro có viên pin dung lượng ấn tượng tối đa 40 giờ sử dụng. Tai nghe có trọng lượng nhẹ chỉ 300g, giúp người dùng có thể đeo thoải mái trong nhiều giờ liền mà không cảm thấy mỏi. Ngoài ra, mẫu tai nghe Razer này còn có thiết kế over-ear với earcup được làm từ chất liệu cao cấp, ôm sát tai không gây khó chịu cho người dùng đeo trong thời gian dài. ",,,
136,RZ-BX,Razer Barracuda X,Razer,Tai chụp,Tai nghe,Chụp tai,"Tai nghe chụp tai Razer Barracuda X sở hữu bộ driver Razer Triforce 40mm độc quyền để có được khả năng xử lý các dải âm từ cao tới thấp hiệu quả, nhằm mang tới trải nghiệm chơi game, giải trí tốt hơn. Với trọng lượng nhẹ, phần đệm tai thoáng khí người dùng sẽ luôn có được sự thoải mái khi đeo tai nghe nhiều giờ. Mẫu tai nghe Razer này còn được trang bị mic đàm thoại độc quyền để giúp nâng cao chất lượng giao tiếp và mang tới kết quả tốt hơn trong các trận đấu.",,,
137,RZ-HP,Razer Hammerhead Pro,Razer,Nhét tai,Tai nghe,Nhét tai,"Tai nghe không dây Razer Hammerhead Pro có độ nhạy 95dB và dải tần số 20Hz-20kHz cho phép tái tạo âm thanh một cách chân thực khi dùng trong thời gian dài. Sản phẩm tai nghe Razer có trọng lượng nhẹ chỉ 53g , mang lại sự thoải mái cho người dùng trong suốt thời gian sử dụng. Khả năng chống mồ hôi và nước văng theo chuẩn IPX4 giúp bạn yên tâm sử dụng trong mọi hoạt động.",,,
138,RZ-HH,Razer Hammerhead Hyperspeed,Razer,Nhét tai,Tai nghe,Nhét tai,"Tai nghe không dây Razer Hammerhead Hyperspeed được trang bị driver 10mm cùng dải tần 20Hz - 20000Hz cho chất lượng audio mạnh mẽ và vô cùng bắt tai. Mẫu tai nghe Razer này được tích hợp công nghệ khử ồn chủ động ANC để bạn tập trung hơn trong khi làm việc hay học tập. Thiết kế tai nghe vừa vặn và có phần mút silicon êm ái, giúp tăng hiệu quả chống ồn. Thời lượng pin tối đa lên tới 32.5 tiếng cho bạn thỏa sức đắm chìm trong những playlist nhạc yêu thích.",,,
139,RZ-HCS2, HyperX Cloud Stinger II Core,Razer,Tai chụp,Tai nghe,Chụp tai,"Tai nghe Gaming HyperX Cloud Stinger II Core được trang bị công nghệ Razer Triforce kết hợp với màng loa 50mm drivers, cho chất âm mạnh mẽ và trầm ấm. Micro tích hợp Razer Hyperclear Cardioid giảm ồn, tái tạo đàm thoại tốt hơn. Bên cạnh đó, chiếc tai nghe Razer có kiểu dáng cực ngầu với trọng lượng nhẹ cùng hỗ trợ jack 3.5mm tương thích cực tốt.",, ,
140,RZ-BSV2,Razer BlackShark V2 X USB,Razer,Tai chụp,Tai nghe,Chụp tai,"Tai nghe chụp tai có dây Razer BlackShark V2 X USB mang lại âm thanh rõ ràng cho mọi dải âm, từ bass đến treble. Razer BlackShark V2 X USB có thể dễ dàng tương thích với nhiều thiết bị thông qua USB-A đảm bảo âm thanh mạnh mẽ, ổn định. Sản phẩm tai nghe Razer còn sở hữu hệ thống microphone HyperClear Cardioid giảm thiểu tạp âm, đảm bảo giọng nói rõ ràng, phù hợp cho trải nghiệm giao tiếp trong game hoặc họp trực tuyến.",,,
141,SS-GBP2,Samsung Galaxy Buds Pro 2,SamSung,Nhét tai,Tai nghe,Nhét tai,"Sau sản phẩm Galaxy Buds Pro, hãng công nghệ Samsung tiếp tục nghiên cứu và cải tiến để cho ra phiên bản mới với tên gọi Samsung Galaxy Buds Pro 2. Là thế hệ mới được Samsung tân trang với thiết kế hiện đại hơn, nhưng vẫn giữ kiểu dáng in-ear “hạt đậu” đặc trưng của dòng sản phẩm này. Có thể, nhà sản xuất tinh chỉnh lại ngoại hình nhỏ gọn hơn, mang lại cảm giác đeo lên tai dễ chịu, thoải mái.",,,
142,SS-GBF,Samsung Galaxy Buds FE,SamSung,Nhét tai,Tai nghe,Nhét tai,"Samsung Galaxy Buds FE tích hợp chức năng chống ồn chủ động (ANC) đi kèm loa một chiều giúp tạo không gian yên tĩnh và cho chất lượng âm thanh tuyệt vời. Thiết kế in-ear dạng vây cá mập của tai nghe đảm bảo ôm sát và thoải mái. Không chỉ vậy, viên pin dung lượng lớn cho cả tai nghe và hộp sạc đảm bảo nguồn năng lượng cả ngày dài. ",24,,
143,SS-GBC,Samsung Galaxy Buds Core,SamSung,Nhét tai,Tai nghe,Nhét tai,"Tai nghe Bluetooth Samsung Galaxy Buds Core sở hữu công nghệ âm thanh không dây hiện đại, với chuẩn kết nối Bluetooth 5.4, cùng khả năng kháng nước IP54. Thời lượng pin ấn tượng đạt 35 giờ sử dụng khi tắt ANC. Sản phẩm trang bị codec AAC, SBC, Scalable Codec, tích hợp AI hỗ trợ đàm thoại rõ ràng, với khả năng phiên dịch cuộc gọi.",,,
144,SS-GB3,SamSung Galaxy Buds 3 ,SamSung,Nhét tai,Tai nghe,Nhét tai,"Samsung Galaxy Buds 3 là mẫu tai nghe không dây sở hữu thiết kế Open-type cùng 2 lựa chọn màu sắc là trắng và bạc sang trọng. Tai nghe với công nghệ  âm thanh Hi-Fi cùng với ANC hỗ trợ mang lại trải nghiệm âm sống động. Cùng với đó, tai nghe còn hỗ trợ AI, hỗ trợ dịch thuật trực tiếp một cách hiệu quả.",,,
145,SS-GB3P,SamSung Galaxy Buds 3 Pro ,SamSung,Nhét tai,Tai nghe,Nhét tai,"Tai nghe SamSung Galaxy Buds 3 Pro trang bị dải tần âm rộng từ 2.4GHz đến 2.48GHz và phạm vi kết nối lên đến 10-12 mét giúp đảm bảo kết nối ổn định hơn. Sản phẩm trang bị công nghệ Bluetooth 5.0 + EDR kết hợp sạc không dây Qi và tương thích với cả dòng điện thoại thông minh iPhone và Android. Bên cạnh đó, hộp sạc có pin dung lượng là 400mAh , cung cấp thời gian sạc nhanh trong khoảng 1-2 giờ và đủ để sử dụng trong thời gian dài. Các loa được tích hợp bao gồm loa trầm 11mm và loa 6.5mm, mang lại âm thanh rõ ràng. ",,,
146,JBL-LP2,JBL Live Pro 2 ,JBL,Nhét tai,Tai nghe,Nhét tai,"Sản phẩm JBL Live Pro 2 có thiết kế độc đáo, hút mắt cùng khả năng loại bỏ tiếng ồn tuyệt vời đã thu hút sự quan tâm của không ít người dùng. Dòng tai nghe không dây có thể thưởng thức âmnhạc, thực hiện cuộc gọi và không bị ảnh hưởng bởi bất kỳ tiếng ồn nào từ môi trường xung quanh. ",,,
147,JBL-EZ,JBL Endurance Zone,JBL,Nhét tai,Tai nghe,Nhét tai,"Tai nghe Bluetooth JBL Endurance Zone trang bị công nghệ JBL OpenSound sống động, cho phép người dùng nghe nhạc mà vẫn nhận biết âm thanh xung quanh. Driver dynamic 18x11mm kết hợp thuật toán tăng cường âm trầm giúp âm thanh thêm phần sâu lắng. Thiết kế móc tai silicon mềm mại, trọng lượng nhẹ hỗ trợ dễ dàng mang theo cả ngày.",,,
148,JBL-TB2G,JBL Tune Beam 2 Ghost,JBL,Nhét tai,Tai nghe,Nhét tai,"Tai nghe JBL Tune Beam 2 Ghost là mẫu tai nghe sở hữu âm thanh JBL Pure Bass cùng trình điều khiển 10mm tối ưu trải nghiệm. Tau nghe còn sở hữu công nghệ Adaptive Noise Cancelling hỗ trợ loại bỏ tiếng ồn giúp mang lại cho người dùng trải nghiệm nghe hiệu quả, không ảnh hưởng từ môi trường. Sản phẩm cũng sở hữu 6 micro giúp cho quá trình đàm thoại rõ nét hơn.",,,
149,JBL-T520BT,JBL Tune 520BT,JBL,Tai chụp,Tai nghe,Chụp tai,Tai nghe JBL Tune 520BT là sản phẩm tai nghe bluetooth mới của JBL. Tai nghe với thiết kế nhiều màu sắc cùng với đó là nhiều công nghệ âm thanh giúp mang lại cho người dùng trải nghiệm giải trí vượt trội.,,,
150,JBL-TF,JBL Tune Flex,JBL,Nhét tai,Tai nghe,Nhét tai,"Tai nghe JBL Tune Flex với trình điều khiển 12 mm cùng thiết kế thông minh nhờ đố mang lại trải nghiệm âm thanh vượt trội, đặc biệt là âm bass. Tai nghe với 4 micro hỗ trợ đàm thoại tiện lợi cùng với công nghệ khử ồn thông minh. Thiết bị với viên pin mang lại thời gian sử dụng lên tới 32 giờ, trong đó 8 giờ sử dụng với tai nghe và 24 giờ trên case sạc.",,,
151,JBL-TB,JBL Tune Beam,JBL,Nhét tai,Tai nghe,Nhét tai,"Tai nghe JBL Tune Beam được trang bị đệm tai êm ái cùng thiết kế nhỏ gọn phù hợp nhiều khuôn tai cùng nhiều màu sắc lựa chọn như đen, trắng, tím và xanh dương. Tai nghe còn được trang bị tới 4 micro cùng công nghệ khử ồn chủ động ANC nhờ đó mang lại những cuộc đàm thoại rõ nét. Cùng với đó, mẫu tai nghe JBL này còn được trang bị viên pin dung lượng lớn mang lại thời gian sử dụng lên đến 12 giờ và có thể tới 36 giờ nếu kết hợp case sạc.",,,
152,JBL-WB2,JBL Wave Buds 2,JBL,Nhét tai,Tai nghe,Nhét tai,"Chiếc tai nghe JBL Wave Buds 2 là sản phẩm âm thanh nổi bật với công nghệ âm thanh JBL Pure Bass, nhờ đó mà nó mang đến âm bass mạnh mẽ, sống động. Tính năng Khử tiếng ồn chủ động (ANC) giúp loại bỏ tiếng ồn xung quanh, trong khi Smart Ambient cho phép điều chỉnh âm thanh môi trường. Với 4 micro, cuộc gọi luôn rõ ràng và chuẩn IP54 đảm bảo khả năng kháng nước và bụi. Thời lượng pin lên đến 40 giờ cùng khả năng sạc nhanh, và tính năng Multi-point giúp tai nghe kết nối hai thiết bị Bluetooth cùng lúc.",,,
153,JBL-SL,JBL Sense Lite,JBL,Nhét tai,Tai nghe,Nhét tai,"Tai nghe thể thao JBL Sense Lite là mẫu tai nghe nổi bật với công nghệ JBL OpenSound độc quyền, mang đến trải nghiệm âm thanh sống động. Sản phẩm được trang bị driver 18x11mm cùng thuật toán tăng bass tự động, giúp tái tạo âm thanh mạnh mẽ. Bên cạnh đó, JBL Sense Lite còn tích hợp 4 micro cùng thiết kế chống ồn gió hiệu quả. ",,,
154,JBL-L670NC,JBL Live 670NC,JBL,Tai chụp,Tai nghe,Chụp tai,"Tai nghe chụp tai JBL Live 670NC sở hữu viên pin dung lượng lớn, cung cấp thời gian chơi nhạc lên đến 65h cùng khả năng kết nối Bluetooth 5.3 siêu mượt mà. Chất âm trên thế hệ tai nghe JBL này cũng được đánh giá là khá sôi động, lôi cuốn nhờ được trang bị củ loa 40mm cùng công nghệ xử lý âm thanh Personi-Fi 2.0. Ngoài ra, sản phẩm tai nghe JBL còn sở hữu đa dạng các phiên bản màu sắc đa dạng cho tai nghe trở nên phong cách và cực kỳ cá tính.",,,
155,JBL-LB3,JBL Live Beam 3,JBL,Nhét tai,Tai nghe,Nhét tai,"Tai nghe JBL Live Beam 3 được trang bị driver 6mm, tích hợp công nghệ JBL Pure Bass Sound, khử ồn chủ động ANC và tính năng TalkThru tiện lợi. Tai nghe đem đến thời gian sử dụng lâu dài lên đến 48 giờ khi tắt ANC và 40 giờ khi bật ANC. Người dùng còn có thể dễ dàng tùy chỉnh âm thanh theo sở thích thông qua ứng dụng JBL Headphones.",,,
156,JBL-TP2,JBL Tour Pro 2,JBL,Nhét tai,Tai nghe,Nhét tai,"JBL Tour Pro 2 với thiết kế hộp sạc thông minh cho phép người dùng có thể kiểm soát các cài đặt âm thanh, quản lý cuộc gọi hay phát lại nhạc, đặt báo thức mà không cần điện thoại. Tai nghe JBL Tour Pro 2 được trang bị  4 micrô với cảm biến tiếng ồn giúp tự động khử tiếng ồn theo môi trường giúp người dùng có những trải nghiệm nghe hiệu quả.",,,
157,JBL-L770NC,JBL Live 770NC,JBL,Tai chụp,Tai nghe,Chụp tai,"Tai nghe chụp tai JBL Live 770NC là một tai nghe over-ear gập gọn với thiết kế nhẹ nhàng với khả năng hủy tiếng ồn thông minh và tính năng cá nhân hóa. Sở hữu thời lượng pin ấn tượng lên đến 65 giờ cùng khả năng sạc nhanh, bạn có thể tận hưởng âm nhạc suốt cả ngày mà không lo gián đoạn. Chất âm JBL Signature được tái hiện sống động qua trình điều khiển động 40mm. Mẫu tai nghe JBL này còn có công nghệ JBL True Adaptive ANC để loại bỏ tiếng ồn và môi trường xung quanh. Kết nối Bluetooth 5.3 và LE Audio đảm bảo truyền phát âm thanh không dây chất lượng cao, mang đến trải nghiệm âm nhạc đỉnh cao.",,,
158,JBL-TP3,JBL Tour Pro 3,JBL,Nhét tai,Tai nghe,Nhét tai,"Tai nghe JBL Tour Pro 3 đem tới chất lượng âm thanh lôi cuốn hàng đầu với công nghệ JBL Pro Sound cao cấp cùng chống ồn chủ động (ANC) cực xịn. Mẫu tai nghe JBL mới này cũng được cải tiến về mặt thiết kế để có tạo hình nhỏ gọn, dễ đeo và không gây khó chịu khi nghe nhạc giải trí. Ngoài ra, màn hình cảm ứng sắc nét của tai nghe cũng được nâng cấp lên đến 1.57’’, cho phép truy cập nhanh vào các tính năng quan trọng chỉ bằng cách chạm nhẹ.",,,
159,JBL-TOM3,JBL Tour ONE M3,JBL,Tai chụp,Tai nghe,Chụp tai,"JBL Tour ONE M3 không chỉ mang đến âm thanh chất lượng cao mà còn nâng tầm trải nghiệm nghe nhạc của bạn với hàng loạt công nghệ tiên tiến. Dù bạn đang làm việc, thư giãn hay di chuyển, mẫu tai nghe JBL này giúp bạn đắm chìm trong không gian âm nhạc cá nhân mà không bị ảnh hưởng bởi tiếng ồn xung quanh.",,152,
160,JBL-TB2,JBL Tune Buds 2,JBL,Nhét tai,Tai nghe,Nhét tai,"JBL Tune Buds 2 tích hợp kích thước driver đạt đến 10mm cùng chỉ số kháng nước, bụi bẩn đạt chuẩn IP54 và khả năng chống ồn chủ động. Đi kèm theo đó là 6 micro đảm bảo cuộc gọi của bạn luôn mượt mà. Ngoài ra, tai nghe còn có thời gian sạc đầy pin chỉ 2 giờ và tổng thời gian phát nhạc đến 48 giờ khi sử dụng chung với dock sạc. ",,,
161,JBL-PS320, JBL PartyBox Stage 320,JBL,Loa di động,Loa,Loa di động,"Loa JBL PartyBox Stage 320 có khả năng phát nhạc sôi động và mạnh mẽ khi sở hữu công suất lên đến 240W cùng thời lượng pin lâu dài 18 giờ liên tục. Kết hợp với đó là công nghệ Bluetooth 5.4 và khả năng kết nối với ứng dụng JBL PartyBox trên điện thoại. Thiết bị cũng có chỉ số chống nước IPX4 và hệ thống đèn LED bắt mắt.
Ưu điểm nổi bật ở sản phẩm nhà JBL nằm ở công nghệ phân tích tín hiệu Ai Sound Boost thông minh. Theo đó, thuật toán Ai có khả năng phân tích và tối ưu chất âm giúp những bản nhạc mạnh mẽ và hay hơn. Ngoài ra, công nghệ Ai trên loa karaoke JBL Stage 320 còn giảm tối đa hiện tượng méo tiếng khi phát nhạc ở âm lượng lớn. 
Kiểu dáng nhỏ gọn cùng hệ thống đèn LED bắt mắt
Mang đến chất âm mạnh mẽ với tính năng ghép nối 2 loa
Thoải mái giải trí nhờ có thời lượng pin lâu dài",43,,
162,JBL-P310,Loa Bluetooth JBL PartyBox 310,JBL,Loa di động,Loa,Loa di động,"JBL PartyBox 310 là một sản phẩm đến từ thương hiệu JBL chất lượng với chất âm mạnh mẽ, hiệu ứng ánh sáng độc đáo. JBL PartyBox 310 hứa hẹn mang đến cho người dùng trải nghiệm âm thanh tuyệt vời.
Thiết kế nhỏ gọn – đèn LED màu sắc bắt mắt – chân kéo tiện lợi
Phía chính nổi bật với hai vàng loa được trang bị hệ thống ánh sáng LED RGB có thể thay đổi hệ thống màu sắc với nhiều chế độ khác nhau như Meter, Pulse và Party Mode. Nhờ đó mang đến không gian âm nhạc sống động, như ở trong một bữa tiệc lớn.
Công nghệ JBL Signature Sound cùng TWS
Âm thanh công suất 240W, âm trầm sâu
",,,
163,JBL-B4,Loa Bluetooth JBL Boombox 4,JBL,Loa di động,Loa,Loa di động,"JBL Boombox 4 nổi bật với công suất mạnh mẽ, thiết kế hiện đại và khả năng kháng nước IP68 tối ưu, đáp ứng mọi nhu cầu giải trí không dây của người dùng. Với kích thước gọn gàng, chỉ 506.4mm x 262.9mm x 212.9mm, loa mang lại sự tiện lợi khi di chuyển. Loa Boombox 4 của JBL này còn sở hữu kết nối Bluetooth 5.4, giúp đường truyền ổn định suốt quá trình sử dụng.
Âm thanh JBL Pro và AI Sound Boost
Thiết kế cứng cáp, màu sắc hiện đại
Kết nối ổn định với chuẩn Bluetooth 5.4 hiện đại
Thời lượng pin lên tới 34 giờ và có hỗ trợ sạc nhanh
Khả năng kháng nước, kháng bụi IP68 cực bền bỉ",,,
164,JBL-A500,Loa Bluetooth JBL Authentics 500,JBL,Loa di động,Loa,Loa di động,"Loa JBL Authentics 500 là một sản phẩm cao cấp của nhà JBL với công suất 270W và hệ thống âm thanh kênh 3.1 giúp tái tạo âm thanh chi tiết. Được trang bị công nghệ Dolby Atmos Music, loa mang đến trải nghiệm âm thanh sống động. Kết nối qua Bluetooth 5.3 và Wi-Fi tích hợp, loa JBL Authentics 500 cho phép truyền phát nhạc từ xa và truy cập vào các dịch vụ nhạc trực tuyến. 
Thiết kế tinh tế: kết hợp với phong retro hoài cổ, JBL Authentics 500 trở thành chiếc loa có tính thẩm mỹ cao và linh hoạt bố trí ở nhiều căn phòng khác nhau.
Công nghệ âm thanh: công suất 270W cùng công nghệ Dolby Atmos tạo nên trải nghiệm âm thanh sống động như đang ngồi trong buổi hoà nhạc đích thực.
Kết nối thông minh: Chỉ cần có Wifi, mạng ethernet, Bluetooth và các ứng dụng kết nối, bạn dễ dàng stream nhạc nhanh chóng với vài thao tác đơn giản. 
Sự kết hợp hoàn hảo giữa hiện đại và cổ điển retro
Stream nhạc nhanh chóng qua Wifi và JBL One App",,,
165,JBL-PEE2,Loa Bluetooth JBL Partybox Encore Essential 2,JBL,Loa di động,Loa,Loa di động,"Loa JBL Partybox Encore Essential 2 mang lại âm thanh mạnh mẽ với công suất 100W và công nghệ JBL Original Pro Sound, giúp thể hiện rõ từng chất âm. Hệ thống đèn LED nhấp nháy theo nhạc tạo không khí sôi động cho mọi bữa tiệc. Hỗ trợ Bluetooth 5.4, kết nối nhanh và ổn định. Với chuẩn kháng nước IPX4, loa hoạt động tốt trong nhiều điều kiện.
Công suất mạnh mẽ, công nghệ âm thanh sống động
Thiết kế nhỏ gọn, màu sắc hiện đại
Tính năng đa dạng, hỗ trợ kết nối linh hoạt
Thời lượng pin ổn định, phù hợp sử dụng dài lâu
Khả năng bảo vệ tốt, kháng nước IPX4",,,
166,JBL-PEE,Loa JBL PartyBox Encore Essential,JBL,Loa di động,Loa,Loa di động,"Loa bluetooth JBL Encore Essential sở hữu thiết kế khá mới mẻ, độc đáo, và kích thước cực nhỏ gọn. JBL Encore Essential có dạng hình vuông, và những đường góc cạnh vát cong nhẹ nhàng. Bên cạnh đó, phía trên loa karaoke thiết kế tay cầm giúp người dùng mang theo đến bất kỳ sự kiện, bữa tiệc nào một cách dễ dàng.
Kiểu dáng vuông vắn sang trọng
Âm thanh sống động
",,,
167,JBL-H,Loa Bluetooth JBL Horizon,JBL,Loa di động,Loa,Loa di động,"Loa JBL Horizon là mẫu loa bluetooth kết hợp đồng hồ báo thức độc đáo với hai phiên bản màu trắng và đen, loa với màn hình LCD có thể tự đồng điều chỉnh độ sáng. Phiên bản loa JBL này với công nghệ kết nối không dây bluetooth nhờ đó có thể kết nối với nhiều thiết bị khác nhau.
Thiết kế loa kết hợp đồng hồ độc đáo
Kết nối không dây Bluetooth ổn định
Âm thanh nổi sống động",,,
168,JBL-H2,Loa Bluetooth JBL Horizon 2,JBL,Loa di động,Loa,Loa di động,"Loa JBL Horizon 2 với thiết kế tròn lạ mắt, đèn LED viền hiện đại và màn hình LCD lớn hiển thị rõ ràng thông tin cần thiết trên thiết bị. Hệ thống âm thanh công suất 2 x 4W RMS kết hợp dải tần 75Hz–20kHz mang đến trải nghiệm nghe ấn tượng. Công nghệ âm thanh JBL Pro tạo ra chất âm trong trẻo khi nghe.
JBL Horizon 2 là mẫu loa Bluetooth kết hợp đồng hồ báo thức hiện đại, mang đến sự tiện lợi và tinh tế cho không gian sống. Với thiết kế đẹp mắt cùng chất âm ấn tượng, loa phục vụ tốt nhu cầu nghe nhạc và tạo điểm nhấn cho bàn làm việc của người dùng.
Công suất lớn và chất âm rõ ràng
Thiết kế độc đáo và điều chỉnh đơn giản
Công nghệ âm thanh sống động",,,
169,JBL-H3,Loa Bluetooth JBL Horizon 3,JBL,Loa di động,Loa,Loa di động,"Loa Bluetooth JBL Horizon 3 nổi bật với hệ thống âm thanh nổi JBL Signature, kết hợp công nghệ Bluetooth 5.3 kèm tính năng Auracast ghép nối nhiều loa. Thêm vào đó, phiên bản này còn tích hợp tính năng báo thức, cùng với khả năng điều chỉnh độ sáng và nhiệt độ màu. Ngoài ra, chiếc loa JBL này sử dụng cổng sạc USB-C tiện lợi áp dụng cho mọi thiết bị.
JBL Horizon 3 tiếp tục khẳng định đẳng cấp với công nghệ âm thanh JBL Signature, mang đến trải nghiệm âm thanh trọn vẹn và sống động. Theo đó, loa thể hiện chất âm mạnh mẽ, cân bằng giữa dải âm trầm sâu lắng, trung âm rõ ràng và âm cao trong trẻo. 
Thiết kế tiện lợi, màu thanh lịch
Âm thanh không gian, ghép nối loa Auracast 
Cổng sạc USB-C, núm điều khiển thân thiện",,,
170,JBL-F7,Loa Bluetooth JBL Flip 7,JBL,Loa di động,Loa,Loa di động,"Loa bluetooth JBL Flip 7 sở hữu công suất đầu ra 35W RMS cùng thiết kế Tweeter riêng biệt, mang đến âm thanh mạnh mẽ với dải cao sắc nét ấn tượng. Loa sở hữu viên pin Li-ion polymer 4800mAh giúp người dùng tận hưởng tới 14 giờ phát nhạc liên tục. Chuẩn kháng nước, chống bụi IP68 cho phép Flip 7 hoạt động bền bỉ trong nhiều môi trường khác nhau.
Chất âm mạnh mẽ, thiết kế năng động
Công nghệ AI Sound Boost tối ưu âm thanh
Thiết kế gọn nhẹ, bền bỉ, tiện dụng cho mọi hành trình
Kết nối Bluetooth 5.4 tiên tiến, hỗ trợ ghép nối đa loa
Chuẩn kháng nước IP68, đảm bảo độ bền bỉ cao",,,
171,JBL-GE,Loa Bluetooth JBL Go Essential,JBL,Loa di động,Loa,Loa di động,"Loa Bluetooth JBL GO Essential là một trong những thiết bị âm thanh của thương hiệu JBL thành công nhất tại thị trường Việt Nam. Nhờ vào thiết kế nhỏ gọn cùng chất lượng âm thanh mềm mại, lôi cuốn, chiếc loa JBL này sẽ mang tới cho người dùng những trải nghiệm giải trí tuyệt vời nhất.
Thiết kế gọn nhẹ, khả năng chống nước, chống bụi hoàn hảo
Chất âm sống động, lôi cuốn
",,,
